tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,total_amount,trip_distance,trip_duration
2022-01-02 13:37:51,2022-01-02 13:44:41,1.0,12.95,1.4,6
2022-01-02 13:00:01,2022-01-02 13:04:10,1.0,11.16,1.39,4
2022-01-02 13:08:25,2022-01-02 13:13:32,1.0,10.3,0.99,5
2022-01-02 13:40:13,2022-01-02 13:43:06,1.0,11.3,0.93,2
2022-01-02 13:19:50,2022-01-02 13:21:36,1.0,6.8,0.59,1
2022-01-02 13:16:05,2022-01-02 13:20:23,1.0,10.56,1.13,4
2022-01-02 13:16:05,2022-01-02 13:25:15,1.0,15.35,1.8,9
2022-01-02 13:29:59,2022-01-02 13:35:17,1.0,9.8,1.63,5
2022-01-02 13:48:59,2022-01-02 13:55:05,1.0,11.76,0.99,6
2022-01-02 13:01:56,2022-01-02 13:06:26,2.0,9.3,0.97,4
2022-01-02 13:25:21,2022-01-02 13:33:04,1.0,13.55,1.4,7
2022-01-02 13:00:39,2022-01-02 13:02:36,1.0,9.36,0.83,1
2022-01-02 13:24:39,2022-01-02 13:31:13,1.0,11.76,1.1,6
2022-01-02 14:06:24,2022-01-02 14:09:44,3.0,7.8,0.6,3
2022-01-02 14:51:56,2022-01-02 14:55:41,5.0,9.36,0.76,3
2022-01-02 14:50:41,2022-01-02 14:52:51,1.0,7.3,0.6,2
2022-01-02 14:13:23,2022-01-02 14:17:37,1.0,12.05,1.1,4
2022-01-02 14:08:36,2022-01-02 14:11:33,1.0,11.2,1.04,2
2022-01-02 14:31:18,2022-01-02 14:34:06,1.0,8.76,0.6,2
2022-01-02 14:19:32,2022-01-02 14:22:19,1.0,7.3,0.69,2
2022-01-02 14:02:41,2022-01-02 14:07:06,1.0,10.56,1.1,4
2022-01-02 14:06:51,2022-01-02 14:13:18,1.0,11.75,1.1,6
2022-01-02 14:00:26,2022-01-02 14:05:09,1.0,9.3,1.08,4
2022-01-02 14:42:21,2022-01-02 14:46:45,3.0,10.56,0.96,4
